time,a (pc),e,f_orb,delta_f_orb
0.0,0.01,0.9995,7.014332979733576e-10,4.78602794956385e-15
10000.0,0.009548657539772028,0.9994762663931026,7.517490742189733e-10,5.274088169059438e-15
20000.0,0.009107266529148868,0.9994508880645854,8.070571856773789e-10,5.7979102906076946e-15
30000.0,0.00867630544841956,0.9994236188091001,8.679288592724649e-10,6.388418277154433e-15
40000.0,0.008255763284458682,0.999394277971936,9.35083794514913e-10,7.0565623066677435e-15
50000.0,0.007845625183066009,0.9993626283404033,1.009357569112028e-09,7.814291186213063e-15
60000.0,0.007446021738462723,0.9993283270194621,1.0916915000328054e-09,8.669518461927614e-15
70000.0,0.0070571357193354705,0.9992911260161781,1.1831605322987032e-09,9.645979113480494e-15
80000.0,0.0066791739733455925,0.9992507023205387,1.2849973882410792e-09,1.0746705568246914e-14
90000.0,0.0063122702031249,0.9992068628171599,1.3986466422366772e-09,1.2012157734276149e-14
100000.0,0.005956683868471537,0.9991589179304918,1.5257365517132713e-09,1.3444792772877686e-14
110000.0,0.005612369631334884,0.9991068831315912,1.6682724565975767e-09,1.5104753835368436e-14
120000.0,0.005279212246212261,0.999049913949217,1.828658859439169e-09,1.7017980742241268e-14
130000.0,0.004957349789689045,0.998987668536015,2.0096111560576256e-09,1.922581489649139e-14
140000.0,0.004645622006918618,0.998919476093191,2.2152389202392095e-09,2.1992960376986113e-14
150000.0,0.004343216517031755,0.9988442035554256,2.4505815428680038e-09,2.5165328759541246e-14
160000.0,0.004051011220072403,0.9987607461137273,2.7204528890983333e-09,2.891713513997395e-14
170000.0,0.0037691575593124717,0.9986676120619036,3.0312373258832634e-09,3.336396012524366e-14
180000.0,0.003497818868811897,0.998563655662095,3.3907081040371695e-09,3.869385430564423e-14
190000.0,0.003237112865104709,0.9984466350403758,3.808461905857119e-09,4.5071552893434985e-14
200000.0,0.0029870555580671547,0.9983153466296483,4.296565412039926e-09,5.279649545771653e-14
210000.0,0.002747695650098601,0.9981674317503489,4.870050215310767e-09,6.223078819673314e-14
220000.0,0.0025189299838420834,0.9979988600383715,5.548329369985314e-09,7.383184830931367e-14
230000.0,0.0023007544635232444,0.9978068593537913,6.35595726782123e-09,8.821861332649581e-14
240000.0,0.0020931548811481846,0.9975870736311564,7.324607063058406e-09,1.061934999617461e-13
250000.0,0.0018961330533111126,0.9973334593580413,8.495386954355605e-09,1.2885636868245356e-13
260000.0,0.0017094220674285922,0.9970397585219603,9.924586457819508e-09,1.5813492015493604e-13
270000.0,0.0015331392819039004,0.9966960302227312,1.1684603013267351e-08,1.9554062050503285e-13
